id,predicted
114982,338862.73101876583
95653,534563.8085523498
40303,337222.5388481306
109506,277239.2528691459
100149,452844.01792430034
7610,321960.76540439145
61101,320494.08555041556
68167,455660.841899198
65701,358641.7164591091
56039,232330.6338370562
81919,413439.770212078
99768,409812.9456072756
124053,655104.9980675173
3942,371286.0121792366
118904,539990.4912341926
30060,379467.0251734401
185729,583714.9232062222
46357,692904.7850378391
20662,371772.8932562693
102274,496409.83082337095
53369,182611.56556087767
9719,424362.22141986253
20145,250433.5613652623
159051,573537.2555661022
31481,302303.40456493327
142247,403489.85395030066
29119,350323.76630188763
151448,462618.3221028294
60594,306490.5463354724
83400,462182.02923982375
40168,316910.44321626826
52407,369915.2334086834
127232,486057.8603249759
131188,384401.94677352975
952,200072.31998749604
166230,474450.1345557817
144844,423720.13781944965
33207,271752.51461428544
28355,756808.336177478
179918,660392.0930389842
162451,590024.0895191351
19390,294958.1697135871
114861,453440.87892296864
132259,411125.2675522617
180033,698964.2450994275
97052,507015.7235353116
94224,436210.1780899674
32295,458801.2727878499
171908,720883.2535308145
80236,502085.16058734944
156193,490771.2773080722
54494,349383.57740269206
174530,650082.2913544995
143835,339551.8222620256
26275,321131.14104797225
61627,678894.0833850466
49813,282147.78604115715
3466,582319.1611936123
117691,537576.091683744
132738,600711.1591657388
114211,539518.1982669998
116741,497222.7101161252
39246,384647.8221246986
150011,397827.5561547334
182319,583760.8150553653
32441,329716.50320183526
18842,400976.1085190265
99428,407207.9163387149
96435,439502.07399448275
134803,413521.9185361027
171636,585505.5889456709
115944,559832.871947958
149001,503369.6074550838
19084,359755.3058928122
178128,661068.716592781
74818,382218.01868223445
49603,199152.45512657033
86262,659134.8457113726
14520,293290.4959893335
57209,709462.2896531872
148575,631491.7491507356
33,209126.9841269844
180401,639682.2231519693
87114,492986.81233507436
16450,371050.4731967625
28848,384920.3801940732
11519,253017.50566313812
7202,300963.678165771
2843,265788.47493884753
156073,511747.7514598604
132217,447522.04867885733
140349,482328.44661730673
34614,337368.3855724956
135594,418486.977587577
170933,654411.5887879251
62586,401810.67732373637
145868,373689.7886474453
15155,157587.2001270969
61290,304117.0535515684
184569,599908.7417470536
169996,377311.937002373
7026,398984.82312655414
128356,397528.68771219463
134501,471583.9156296864
163406,583382.9482506571
56796,401455.01323547296
174870,666063.542194298
142554,526931.8921295624
59547,234952.73509098703
143113,445729.741923301
154091,485306.9759911147
61191,565048.6164591206
135899,429054.9975141508
172405,544095.4420242088
184121,588301.8551299893
1063,409661.7371878118
6348,324189.9695802899
79995,596991.4483658156
50573,346014.7352020621
79894,428736.29320226243
113553,424689.7307502864
31931,362637.4416852982
86645,353765.6339917528
123780,337926.11423285236
142940,534976.1419266603
138987,578251.9905180776
41502,218392.52652819233
100104,574485.1038577455
83570,504478.51707328344
181648,628595.1500472104
68406,416142.83585809695
114567,366888.3728890239
5470,417488.72280666744
176926,755845.1560759861
173013,484324.17528594896
110219,452229.35370740725
52178,252636.59888646286
120569,478574.79014602484
132710,483125.43796446646
10478,385205.1756788969
100309,761705.8938645553
76446,376583.3584771752
140674,449469.64334386593
122786,543611.5523486529
66214,396385.08309388935
120240,345763.31215251953
